英雄,胜率,出场率,输出占比,承伤占比,分均经济,拿牌率,前期胜率,中期胜率,后期胜率
司马懿,52.1%,4.9%,20.7%,18.7%,762,16.0%,50.1%,51.0%,53.0%
芈月,49.3%,4.4%,21.7%,22.3%,693,20.1%,53.9%,48.7%,46.0%
孙策,53.2%,4.7%,15.0%,20.7%,647,20.6%,56.1%,50.9%,46.3%
高渐离,51.8%,4.6%,26.6%,19.5%,684,24.1%,52.4%,51.6%,54.8%
弈星,46.1%,4.5%,20.8%,13.5%,598,21.6%,44.6%,48.8%,47.1%
元流之子(刺客),48.7%,4.0%,19.6%,19.8%,765,19.7%,46.6%,49.6%,52.1%
李白,49.7%,4.1%,21.9%,14.4%,749,22.8%,47.8%,50.0%,51.9%
姬小满,48.3%,4.2%,15.6%,20.1%,662,22.5%,48.0%,50.1%,52.6%
百里守约,49.0%,4.0%,24.6%,14.5%,697,26.9%,42.1%,51.6%,58.1%
墨子,47.5%,3.8%,16.1%,24.6%,516,20.1%,50.0%,47.9%,49.2%
廉颇,46.9%,3.6%,13.9%,29.6%,530,19.8%,45.1%,46.8%,47.1%
瑶,47.9%,3.4%,11.9%,15.8%,522,30.6%,42.0%,49.6%,49.3%
空空儿,44.8%,3.3%,15.6%,24.1%,517,40.4%,46.7%,46.4%,50.7%
安琪拉,45.4%,3.5%,21.8%,15.5%,636,21.5%,46.7%,47.4%,47.5%
白起,46.2%,3.2%,13.2%,28.3%,626,9.9%,43.9%,47.1%,49.6%
达摩,49.0%,3.0%,14.8%,21.1%,633,17.4%,50.8%,48.5%,47.5%
雅典娜,50.8%,3.0%,20.5%,22.2%,749,16.0%,50.7%,52.9%,51.2%
桑启,49.0%,3.0%,12.3%,22.9%,506,28.8%,49.3%,49.3%,49.1%
朵莉亚,47.6%,2.6%,10.9%,24.0%,513,30.7%,41.7%,47.8%,47.3%
亚瑟,49.6%,2.9%,15.9%,24.6%,619,23.0%,45.8%,52.4%,51.5%
曜,47.8%,2.9%,19.6%,18.1%,753,17.5%,46.5%,49.6%,49.3%
娜可露露,48.3%,2.7%,18.6%,15.4%,754,13.0%,46.4%,48.0%,51.1%
梦奇,48.8%,2.7%,20.0%,23.8%,694,23.6%,49.5%,53.0%,47.6%
李元芳,48.4%,2.6%,22.5%,16.2%,742,19.3%,54.1%,49.2%,51.0%
兰陵王,46.2%,2.4%,16.4%,16.6%,652,8.9%,47.0%,48.2%,48.3%
鲁班七号,51.2%,2.3%,27.2%,15.9%,723,29.6%,49.2%,49.8%,52.2%
澜,46.1%,2.1%,18.4%,18.4%,764,17.0%,44.8%,49.5%,49.4%
猪八戒,49.2%,2.1%,16.2%,30.2%,673,24.7%,47.3%,49.1%,49.7%
鬼谷子,54.0%,1.9%,9.2%,21.5%,502,17.0%,49.7%,54.1%,54.6%
王昭君,46.8%,2.0%,22.1%,16.1%,565,22.7%,48.2%,48.2%,48.7%
盘古,50.9%,1.8%,20.4%,19.0%,709,16.3%,48.9%,52.7%,53.9%
干将莫邪,45.1%,2.0%,27.1%,12.8%,655,20.2%,47.2%,46.4%,50.3%
元流之子(坦克),47.6%,1.8%,16.7%,29.4%,603,23.7%,46.3%,46.7%,50.2%
钟馗,43.3%,1.8%,11.1%,27.5%,505,14.7%,45.8%,45.4%,45.9%
刘备,50.2%,1.7%,20.4%,20.8%,766,18.4%,50.7%,52.8%,51.2%
元流之子(法师),47.9%,1.6%,26.1%,14.4%,643,14.4%,44.0%,47.3%,51.9%
项羽,46.1%,1.6%,14.6%,26.1%,559,17.6%,45.7%,47.4%,47.5%
嬴政,45.9%,1.4%,29.2%,15.0%,651,26.9%,43.1%,47.5%,52.8%
姜子牙,45.0%,1.3%,23.6%,11.9%,591,15.8%,39.9%,45.3%,51.2%
马可波罗,48.3%,1.3%,22.4%,16.4%,716,19.9%,43.6%,49.8%,48.1%
周瑜,53.3%,1.3%,25.5%,16.2%,643,26.9%,54.6%,49.0%,47.3%
吕布,44.8%,1.2%,18.3%,21.6%,613,21.4%,41.8%,46.0%,45.9%
钟无艳,51.8%,1.3%,17.8%,23.8%,664,22.1%,53.3%,50.1%,45.5%
阿轲,47.6%,1.2%,17.1%,17.2%,742,17.1%,45.9%,50.4%,52.3%
孙膑,48.9%,1.0%,12.9%,20.3%,523,35.6%,45.0%,50.2%,49.4%
云中君,49.3%,1.1%,17.3%,17.6%,744,12.1%,49.7%,51.3%,52.3%
东皇太一,47.4%,1.0%,14.8%,28.1%,536,19.0%,48.6%,47.8%,45.0%
金蝉,46.6%,0.9%,25.0%,12.1%,579,21.6%,43.6%,45.9%,46.3%
莱西奥,46.8%,1.0%,26.0%,15.7%,705,18.9%,46.5%,49.3%,55.7%
妲己,46.1%,0.9%,22.4%,13.9%,606,20.8%,44.1%,49.1%,48.5%
蔡文姬,42.4%,0.9%,7.8%,24.6%,510,23.7%,45.5%,47.5%,47.8%
亚连,47.2%,1.0%,17.8%,22.5%,641,17.3%,43.2%,48.8%,51.0%
庄周,50.3%,0.6%,12.3%,26.9%,511,28.3%,44.4%,51.0%,51.4%
蒙犽,49.6%,0.9%,25.9%,16.6%,726,22.5%,47.3%,53.7%,52.5%
刘禅,44.4%,0.8%,9.6%,31.1%,507,27.6%,44.6%,46.1%,48.2%
牛魔,48.2%,0.5%,9.1%,25.7%,505,17.4%,42.5%,48.5%,49.0%
扁鹊,45.8%,0.5%,20.7%,18.7%,644,29.8%,47.3%,49.6%,49.9%
黄忠,46.5%,0.4%,23.7%,16.1%,682,17.2%,43.0%,50.4%,53.1%
伽罗,48.5%,0.4%,24.4%,14.5%,707,16.3%,44.7%,50.0%,52.4%
夏侯惇,45.5%,0.4%,15.7%,30.2%,599,14.3%,45.7%,46.1%,46.7%
程咬金,44.5%,0.4%,18.9%,31.0%,647,27.4%,42.8%,44.9%,44.8%
米莱狄,47.2%,0.4%,25.8%,11.0%,615,36.5%,50.5%,44.4%,38.6%
明世隐,43.0%,0.1%,10.2%,20.2%,519,26.9%,36.0%,46.6%,47.9%
